ID 1	ID 2	Label 1	Label 2	AAI	CDS count 1	CDS count 2	Matched count	Proteome cov.	ID param.	Cov. param.
491658587	491658587	Cryptococcus_jaspeensis_OR918	Cryptococcus_jaspeensis_OR918	100.000000	8376	8376	8376	1.000000	0.400000	0.500000
491658587	828492486	Cryptococcus_jaspeensis_OR918	Cryptococcus_porticicola_DSM117830	81.908136	8376	6601	5924	0.791080	0.400000	0.500000
491658587	504786442	Cryptococcus_jaspeensis_OR918	Cryptococcus_deuterogattii_R265	69.108627	8376	6424	5164	0.697838	0.400000	0.500000
491658587	58685263	Cryptococcus_jaspeensis_OR918	Cryptococcus_tetragattii_CBS11718	69.059563	8376	6345	5077	0.689763	0.400000	0.500000
491658587	829390957	Cryptococcus_jaspeensis_OR918	Cryptococcus_porticicola_DSM108352	82.478441	8376	6638	6044	0.805115	0.400000	0.500000
491658587	1065029646	Cryptococcus_jaspeensis_OR918	Cryptococcus_deneoformans_NIH12	69.030231	8376	6487	5243	0.705510	0.400000	0.500000
491658587	235573529	Cryptococcus_jaspeensis_OR918	Cryptococcus_neoformans_H99	69.075794	8376	6975	5356	0.697805	0.400000	0.500000
491658587	76872447	Cryptococcus_jaspeensis_OR918	Cryptococcus_neoformans_T4	68.971749	8376	6583	5244	0.701116	0.400000	0.500000
491658587	860450669	Cryptococcus_jaspeensis_OR918	Cryptococcus_neoformans_Bt22	69.040160	8376	6656	5259	0.699707	0.400000	0.500000
491658587	235577474	Cryptococcus_jaspeensis_OR918	Cryptococcus_neoformans_Bt1	69.052854	8376	6663	5256	0.698983	0.400000	0.500000
491658587	531225651	Cryptococcus_jaspeensis_OR918	Cryptococcus_decagattii_CBS11687	68.967445	8376	6231	4990	0.683234	0.400000	0.500000
491658587	439794612	Cryptococcus_jaspeensis_OR918	Cryptococcus_neoformans_PMHc1023.ENR	68.950818	8376	6663	5256	0.698983	0.400000	0.500000
491658587	633993259	Cryptococcus_jaspeensis_OR918	Cryptococcus_depauperatus_CBS7855	66.645751	8376	6329	4731	0.643455	0.400000	0.500000
491658587	642311172	Cryptococcus_jaspeensis_OR918	Cryptococcus_hyracis_MF34	68.896932	8376	6467	5199	0.700532	0.400000	0.500000
491658587	711680965	Cryptococcus_jaspeensis_OR918	Cryptococcus_neoformans_Ftc555-1	69.083375	8376	6596	5230	0.698637	0.400000	0.500000
491658587	829364017	Cryptococcus_jaspeensis_OR918	Cryptococcus_fructiofici_DSM109063	89.216211	8376	7228	6699	0.858626	0.400000	0.500000
491658587	829390958	Cryptococcus_jaspeensis_OR918	Cryptococcus_porticicola_DSM108351	82.593057	8376	6553	5963	0.798848	0.400000	0.500000
491658587	633993294	Cryptococcus_jaspeensis_OR918	Cryptococcus_depauperatus_CBS7841	66.694291	8376	6342	4721	0.641527	0.400000	0.500000
